Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Director
Dune: Part One,2021,155,8.2,"Action, Adventure, Drama",270552.00,"Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",Timothée Chalamet
You,2018–,45,7.7,"Crime, Drama, Romance",193093.00,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",Victoria Pedretti
Squid Game,2021,60,8.1,"Action, Drama, Mystery",278571.00,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.",Park Hae-soo
Dune,1984,137,6.4,"Action, Adventure, Sci-Fi",148692.00,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,Kyle MacLachlan
Eternals,2021,157,6.8,"Action, Adventure, Drama",12506.00,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Gemma Chan
Locke & Key,2020–,48,7.4,"Drama, Fantasy, Horror",59559.00,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.",Connor Jessup
Succession,2018–,60,8.7,Drama,74737.00,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",Brian Cox
No Time to Die,2021,163,7.5,"Action, Adventure, Thriller",143796.00,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Daniel Craig
Halloween Kills,2021,105,5.7,"Horror, Thriller",51137.00,The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,Jamie Lee Curtis
The French Dispatch,2021,108,7.5,"Comedy, Drama, Romance",14061.00,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",Benicio Del Toro
Maid,2021,545,8.5,Drama,37909.00,"After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.",Nick Robinson
Last Night in Soho,2021,116,7.6,"Drama, Horror, Mystery",12872.00,An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,Thomasin McKenzie
Invasion,2021–,60,5.8,"Drama, Fantasy, Sci-Fi",7129.00,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,Tara Moayedi
Midnight Mass,2021,450,7.7,"Drama, Fantasy, Horror",67287.00,"An isolated island community experiences miraculous events - and frightening omens - after the arrival of a charismatic, mysterious young priest.",Zach Gilford
The Last Duel,2021,152,7.7,"Action, Drama, History",19550.00,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,Matt Damon
Inside Job,2021–,30,7.7,"Animation, Comedy, Fantasy",5092.00,"For employees of the Deep State, conspiracies aren't just theories they're fact. And keeping them a secret is a full-time job.",Christian Slater
Ted Lasso,2020–,30,8.8,"Comedy, Drama, Sport",128395.00,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",Brett Goldstein
Night Teeth,2021,107,5.6,"Action, Crime, Drama",10341.00,"A college student moonlighting as a chauffeur picks up two mysterious women for a night of party-hopping across LA. But when he uncovers their bloodthirsty intentions - and their dangerous, shadowy underworld - he must fight to stay alive.",Jorge Lendeborg Jr.
Army of Thieves,2021,127,6.4,"Action, Comedy, Crime",22094.00,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",Matthias Schweighöfer
Venom: Let There Be Carnage,2021,97,6.3,"Action, Adventure, Sci-Fi",53161.00,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",Tom Hardy
American Horror Story,2011–,60,8.0,"Drama, Horror, Thriller",298750.00,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and desert valley.",Kathy Bates
Free Guy,2021,115,7.2,"Action, Adventure, Comedy",184739.00,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",Ryan Reynolds
Foundation,2021–,60,7.3,"Drama, Sci-Fi",23260.00,A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,Jared Harris
Antlers,2021,99,6.4,"Drama, Horror, Mystery",3487.00,"In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with a asexual ancestral creature who came on them before.",Keri Russell
Only Murders in the Building,2021–,30,8.2,"Comedy, Crime, Drama",36952.00,Three strangers who share an obsession with true crime suddenly find themselves caught up in one.,Martin Short
Hypnotic,2021,88,5.2,"Drama, Horror, Mystery",7009.00,"A young woman seeking self-improvement enlists the help of a renowned hypnotherapist. But after a handful of intense sessions, she discovers unexpected and deadly consequences.",Suzanne Coote
The Walking Dead,2010–2022,44,8.2,"Drama, Horror, Thriller",909963.00,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,Norman Reedus
Game of Thrones,2011–2019,57,9.2,"Action, Adventure, Drama",1893840.00,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",Peter Dinklage
Hocus Pocus,1993,96,6.9,"Comedy, Family, Fantasy",116245.00,"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",Bette Midler
Seinfeld,1989–1998,22,8.8,Comedy,276387.00,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Julia Louis-Dreyfus
Halloween,1978,91,7.7,"Horror, Thriller",256954.00,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",Donald Pleasence
Sex Education,2019–,45,8.3,"Comedy, Drama",228709.00,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,Gillian Anderson
Dune,2000,265,7.0,"Adventure, Drama, Fantasy",21780.00,"A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",Alec Newman
What We Do in the Shadows,2016–,30,8.6,"Comedy, Fantasy, Horror",53558.00,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",Matt Berry
The Sopranos,1999–2007,55,9.2,"Crime, Drama",344044.00,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",Lorraine Bracco
Dopesick,2021–,120,8.7,Drama,4996.00,"The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the DEA.",Peter Sarsgaard
Grey's Anatomy,2005–,41,7.5,"Drama, Romance",277272.00,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,Chandra Wilson
The Morning Show,2019–,60,8.4,Drama,77371.00,"An inside look at the lives of the people who help America wake up in the morning, exploring the unique challenges faced by the men and women who carry out this daily televised ritual.",Reese Witherspoon
